feature,importance
v14,0.2235781675116234
v10,0.13178052863257017
v4,0.09887453041488949
v12,0.08899273963284346
v17,0.08456845835617209
v11,0.08117438294730088
v3,0.06637749084755856
v16,0.043826937243892417
v7,0.0307484945002942
v2,0.027277072211158822
v8,0.011357029719688945
v21,0.010219943533427178
v18,0.01019269225633904
v9,0.009287912830008967
v27,0.008577767019785864
v6,0.008489191467511412
v1,0.00841042002136435
transaction_amount_log,0.006449079802493845
v28,0.006185269468654568
v19,0.00582933099587923
v5,0.0054749940253441196
v20,0.005362149414405925
transactions_per_user_last_24h,0.003687830830087107
v22,0.0034482722521397874
v26,0.003159562571923502
v13,0.0029453513447912356
v23,0.0027571658409065946
transaction_hour,0.0024881102233215062
v15,0.0023271737543700067
v24,0.002319292407098754
v25,0.0018743767196296474
avg_amount_last_7days,0.001103800226031318
is_night_transaction,0.0008544809764936212
